Product_Weight,Product_Allocated_Area,Product_MRP,Store_Establishment_Year,Product_Id,Product_Sugar_Content,Product_Type,Store_Id,Store_Size,Store_Location_City_Type,Store_Type
13.53,0.023,196.65,1987,NC6262,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1
7.59,0.191,176.98,2009,FD2211,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
19.12,0.056,193.68,1999,FD3905,Regular,Meat,OUT003,Medium,Tier 1,Departmental Store
17.5,0.178,192.22,1999,FD5991,Regular,Meat,OUT003,Medium,Tier 1,Departmental Store
12.47,0.064,156.27,2009,FD6341,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2
15.39,0.053,137.79,2009,FD4086,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
14.17,0.064,142.1,2009,FD1638,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
11.94,0.019,136.14,2009,FD3918,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
9.68,0.16,137.65,2009,FD1576,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
15.82,0.031,162.76,1999,FD5639,Low Sugar,Fruits and Vegetables,OUT003,Medium,Tier 1,Departmental Store
11.75,0.031,61.57,1998,FD6357,Regular,Snack Foods,OUT002,Small,Tier 3,Food Mart
13.11,0.106,160.46,2009,FD1642,Low Sugar,Breakfast,OUT004,Medium,Tier 2,Supermarket Type2
13.08,0.019,97.93,2009,NC1520,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
13.39,0.04,196.18,1987,FD5375,Regular,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1
14.26,0.026,149.2,2009,FD1632,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2
14.8,0.055,130.36,2009,FD2382,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
12.69,0.076,155.65,2009,FD4309,Regular,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
11.44,0.057,181.96,2009,NC6229,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
14.83,0.081,114.04,2009,NC6676,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
13.42,0.026,107.01,2009,NC3555,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
11.56,0.098,122.14,2009,NC4958,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
13.05,0.071,133.57,2009,FD6612,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.96,0.076,149.13,2009,FD5157,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
14.66,0.14,153.72,1987,FD1578,Low Sugar,Canned,OUT001,High,Tier 2,Supermarket Type1
13.51,0.212,143.48,2009,FD2465,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
12.77,0.046,165.71,2009,FD8414,Low Sugar,Starchy Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.69,0.076,132.88,2009,FD6280,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2
12.73,0.028,166.77,2009,FD3234,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
12.25,0.031,102.71,1987,FD7178,Regular,Meat,OUT001,High,Tier 2,Supermarket Type1
13.47,0.096,145.93,2009,FD5603,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
12.5,0.081,135.26,2009,FD5160,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2
12.97,0.036,157.12,2009,FD1196,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
10.46,0.077,107.28,1998,FD4737,Low Sugar,Dairy,OUT002,Small,Tier 3,Food Mart
13.91,0.098,186.73,1987,FD6894,Low Sugar,Baking Goods,OUT001,High,Tier 2,Supermarket Type1
11.3,0.022,133.51,2009,FD5302,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
12.11,0.027,106.65,2009,DR5958,Regular,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
14.25,0.009,194.45,1987,NC7628,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1
14.28,0.121,152.84,2009,FD5833,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
8.43,0.124,128.61,1998,FD632,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart
10.84,0.103,162.99,2009,NC7343,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
14.04,0.167,145.76,2009,NC6992,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
10.77,0.016,136.99,2009,FD6751,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2
9.16,0.047,123.95,1998,FD1560,Low Sugar,Dairy,OUT002,Small,Tier 3,Food Mart
11.31,0.049,168.4,2009,FD1231,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
15.76,0.128,177.51,1987,DR1005,Regular,Soft Drinks,OUT001,High,Tier 2,Supermarket Type1
11.52,0.019,101.37,1998,NC7433,No Sugar,Household,OUT002,Small,Tier 3,Food Mart
5.91,0.159,90.33,1998,FD1733,Regular,Starchy Foods,OUT002,Small,Tier 3,Food Mart
9.63,0.071,197.66,2009,FD1275,Low Sugar,Breads,OUT004,Medium,Tier 2,Supermarket Type2
9.72,0.029,142.16,2009,FD5532,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2
8.05,0.039,103.58,1998,FD6224,Regular,Baking Goods,OUT002,Small,Tier 3,Food Mart
14.6,0.015,147.56,2009,FD3536,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
8.43,0.053,110.29,1998,FD841,Low Sugar,Breakfast,OUT002,Small,Tier 3,Food Mart
11.65,0.017,181.67,2009,FD219,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
14.89,0.088,200.39,1999,FD6352,Low Sugar,Baking Goods,OUT003,Medium,Tier 1,Departmental Store
9.62,0.103,134.38,2009,FD4457,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
13.88,0.077,163.08,1987,FD4242,reg,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
11.64,0.097,78.01,1998,FD6408,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart
10.35,0.026,112.74,1998,FD6175,Regular,Dairy,OUT002,Small,Tier 3,Food Mart
14.42,0.073,154.35,1987,FD7430,Low Sugar,Seafood,OUT001,High,Tier 2,Supermarket Type1
12.89,0.024,129.58,2009,FD3233,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
14.54,0.055,147.53,2009,FD1804,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
13.94,0.06,171.91,1999,NC7570,No Sugar,Household,OUT003,Medium,Tier 1,Departmental Store
10.57,0.042,102.9,1998,NC5938,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart
13.79,0.025,116.44,2009,FD3931,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
13.91,0.076,157.43,2009,FD2782,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
10.24,0.059,115.23,1998,FD8435,Regular,Meat,OUT002,Small,Tier 3,Food Mart
9.96,0.047,118.1,1998,FD1474,Regular,Canned,OUT002,Small,Tier 3,Food Mart
11.42,0.036,131.28,2009,NC6490,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
11.77,0.091,147.67,2009,FD1854,Low Sugar,Breads,OUT004,Medium,Tier 2,Supermarket Type2
14.66,0.023,171.91,1999,FD8003,Regular,Snack Foods,OUT003,Medium,Tier 1,Departmental Store
13.61,0.255,184.29,1999,FD3696,Low Sugar,Frozen Foods,OUT003,Medium,Tier 1,Departmental Store
10.76,0.068,135.43,2009,FD5888,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
12.42,0.091,141.97,2009,FD354,Regular,Breakfast,OUT004,Medium,Tier 2,Supermarket Type2
14.77,0.169,178.74,1987,NC3864,No Sugar,Others,OUT001,High,Tier 2,Supermarket Type1
13.84,0.056,98.99,2009,FD4388,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2
8.8,0.047,107.05,1998,NC1963,No Sugar,Household,OUT002,Small,Tier 3,Food Mart
9.19,0.116,123.58,1998,FD8201,Low Sugar,Frozen Foods,OUT002,Small,Tier 3,Food Mart
12.97,0.091,165.31,1999,NC36,No Sugar,Household,OUT003,Medium,Tier 1,Departmental Store
13.81,0.058,160.24,2009,FD7095,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
16.46,0.071,104.02,2009,NC6327,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
7.12,0.227,94.79,1998,FD2368,Regular,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart
12.84,0.17,126.01,2009,NC4104,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
13.04,0.044,143.05,2009,FD1982,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
13.46,0.138,143.31,2009,NC3463,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
9.84,0.093,146.17,2009,NC8609,No Sugar,Others,OUT004,Medium,Tier 2,Supermarket Type2
11.95,0.112,146.29,2009,FD316,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2
12.41,0.028,171.25,2009,FD5969,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
16.2,0.142,149.65,1999,FD7975,Low Sugar,Snack Foods,OUT003,Medium,Tier 1,Departmental Store
14.54,0.027,201.84,1999,FD404,Low Sugar,Dairy,OUT003,Medium,Tier 1,Departmental Store
10.67,0.078,109.32,1998,DR7667,Low Sugar,Soft Drinks,OUT002,Small,Tier 3,Food Mart
10.61,0.065,126.3,2009,NC2587,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
11.01,0.013,143.38,2009,NC2193,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
11.87,0.073,164.44,2009,NC4579,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
13.61,0.022,131.96,2009,FD4698,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2
10.92,0.142,184.73,1999,NC9,No Sugar,Health and Hygiene,OUT003,Medium,Tier 1,Departmental Store
11.44,0.029,149.79,2009,NC5700,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
14.85,0.047,138.58,2009,FD5225,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
11.07,0.075,144.46,2009,FD3449,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.67,0.039,167.34,2009,NC3316,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
9.92,0.039,113.89,1998,FD1174,Regular,Snack Foods,OUT002,Small,Tier 3,Food Mart
8.69,0.053,127.49,1998,NC5345,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart
11.15,0.096,156.0,2009,FD6212,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.43,0.133,137.6,2009,FD3528,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.6,0.073,146.25,2009,FD3065,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
13.07,0.063,150.55,2009,FD3921,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.89,0.055,80.76,1998,DR7992,reg,Soft Drinks,OUT002,Small,Tier 3,Food Mart
13.83,0.018,166.21,1987,FD2415,Low Sugar,Canned,OUT001,High,Tier 2,Supermarket Type1
9.05,0.073,106.63,1998,FD6504,Low Sugar,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart
8.51,0.1,121.64,1998,NC7542,No Sugar,Household,OUT002,Small,Tier 3,Food Mart
12.3,0.054,119.13,2009,NC8144,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
10.98,0.168,115.45,1987,FD8104,Low Sugar,Meat,OUT001,High,Tier 2,Supermarket Type1
12.89,0.047,151.99,2009,DR8235,Regular,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
15.82,0.141,148.73,1999,FD2908,Regular,Meat,OUT003,Medium,Tier 1,Departmental Store
10.9,0.061,150.45,2009,FD770,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
15.26,0.035,162.84,1999,FD7330,Low Sugar,Dairy,OUT003,Medium,Tier 1,Departmental Store
13.84,0.055,122.2,2009,FD234,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
15.57,0.128,161.96,1999,FD1545,Low Sugar,Breads,OUT003,Medium,Tier 1,Departmental Store
13.47,0.108,141.79,2009,NC7370,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
11.56,0.055,153.11,2009,FD4768,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
11.19,0.038,159.95,2009,NC7380,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
11.19,0.077,89.56,1998,NC3561,No Sugar,Others,OUT002,Small,Tier 3,Food Mart
11.96,0.088,156.95,2009,FD3557,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
14.06,0.013,134.94,2009,FD1916,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
10.15,0.121,98.69,1998,FD2819,Low Sugar,Seafood,OUT002,Small,Tier 3,Food Mart
11.22,0.071,159.34,2009,FD7629,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
7.79,0.035,118.85,1998,FD4816,Regular,Canned,OUT002,Small,Tier 3,Food Mart
16.96,0.08,150.74,1987,FD6339,Regular,Dairy,OUT001,High,Tier 2,Supermarket Type1
12.47,0.174,157.88,2009,FD4427,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2
14.43,0.016,149.64,2009,FD4777,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.13,0.124,133.93,2009,FD5814,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
10.25,0.051,156.28,2009,FD2485,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.23,0.067,148.57,2009,FD1761,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
15.61,0.034,171.59,1987,FD7036,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
12.63,0.161,191.98,1999,FD2638,Low Sugar,Breakfast,OUT003,Medium,Tier 1,Departmental Store
11.65,0.119,130.74,2009,FD8492,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2
11.37,0.046,133.52,2009,DR1800,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
11.13,0.105,126.25,2009,FD1372,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
11.9,0.136,184.5,1987,FD7020,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
15.72,0.028,147.45,1987,NC6820,No Sugar,Health and Hygiene,OUT001,High,Tier 2,Supermarket Type1
14.95,0.041,185.28,1987,FD2225,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
12.84,0.106,148.22,2009,FD387,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
16.01,0.053,219.19,1999,FD609,Low Sugar,Snack Foods,OUT003,Medium,Tier 1,Departmental Store
15.62,0.014,169.94,1987,FD3014,Low Sugar,Starchy Foods,OUT001,High,Tier 2,Supermarket Type1
6.65,0.021,127.04,1998,FD1032,Low Sugar,Dairy,OUT002,Small,Tier 3,Food Mart
17.53,0.058,193.39,1999,FD1960,Regular,Frozen Foods,OUT003,Medium,Tier 1,Departmental Store
15.94,0.121,179.68,1987,NC2033,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1
13.08,0.136,157.84,2009,DR312,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
13.24,0.168,133.2,2009,NC856,No Sugar,Others,OUT004,Medium,Tier 2,Supermarket Type2
15.92,0.045,191.88,1999,FD32,Low Sugar,Canned,OUT003,Medium,Tier 1,Departmental Store
13.83,0.016,157.59,2009,FD6100,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
12.99,0.026,126.49,2009,FD1222,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.03,0.032,153.34,2009,DR2547,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2
14.14,0.22,139.43,2009,FD4299,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2
14.79,0.113,181.26,1987,NC1610,No Sugar,Health and Hygiene,OUT001,High,Tier 2,Supermarket Type1
13.05,0.015,145.06,2009,FD1447,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
12.79,0.079,156.49,2009,FD3283,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
12.71,0.013,186.96,1999,FD2854,Low Sugar,Fruits and Vegetables,OUT003,Medium,Tier 1,Departmental Store
13.42,0.038,145.67,2009,FD1407,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
17.72,0.086,192.25,1999,FD3957,Low Sugar,Snack Foods,OUT003,Medium,Tier 1,Departmental Store
10.04,0.063,147.01,2009,NC3830,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
10.74,0.12,139.39,2009,FD1597,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2
14.28,0.121,159.61,1987,FD4059,Regular,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1
11.43,0.174,162.44,2009,FD4022,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.47,0.104,104.69,1987,NC2171,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1
11.03,0.185,183.66,2009,FD4956,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
13.41,0.078,150.61,2009,NC2530,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
11.66,0.12,106.36,1987,DR5365,Low Sugar,Hard Drinks,OUT001,High,Tier 2,Supermarket Type1
13.06,0.127,119.84,2009,FD6759,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.48,0.099,159.91,2009,FD5103,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.24,0.071,116.91,2009,NC7971,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2
6.96,0.153,59.22,1998,NC730,No Sugar,Others,OUT002,Small,Tier 3,Food Mart
12.79,0.048,167.19,2009,FD3227,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2
10.52,0.081,152.17,2009,NC7935,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
12.59,0.041,207.04,1987,NC6500,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1
8.72,0.026,102.83,1998,FD4978,Low Sugar,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart
13.69,0.028,169.01,1987,FD668,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1
11.43,0.138,143.95,2009,FD2121,Low Sugar,Breads,OUT004,Medium,Tier 2,Supermarket Type2
14.52,0.163,120.86,2009,DR5140,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2
13.81,0.044,208.17,1987,FD5000,Regular,Dairy,OUT001,High,Tier 2,Supermarket Type1
12.3,0.081,144.8,2009,NC6543,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2
14.51,0.041,139.17,2009,FD4167,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
9.91,0.059,165.33,1999,FD317,Low Sugar,Dairy,OUT003,Medium,Tier 1,Departmental Store
12.6,0.031,203.64,1987,FD2545,Regular,Dairy,OUT001,High,Tier 2,Supermarket Type1
10.76,0.147,145.21,2009,FD5636,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
10.92,0.053,146.88,2009,FD948,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2
10.95,0.013,111.91,1987,FD5029,Low Sugar,Dairy,OUT001,High,Tier 2,Supermarket Type1
11.99,0.013,138.93,2009,FD3007,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2
11.9,0.016,137.91,2009,FD2621,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2
11.67,0.118,179.54,2009,FD4186,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2
9.45,0.033,118.24,1998,NC4019,No Sugar,Household,OUT002,Small,Tier 3,Food Mart
16.77,0.02,171.19,1999,FD2843,Low Sugar,Meat,OUT003,Medium,Tier 1,Departmental Store
11.91,0.14,110.62,2009,FD2987,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2
